"module name","licenses","repository","licenseUrl","parents"
"find-up@3.0.0","MIT","https://github.com/sindresorhus/find-up","https://github.com/sindresorhus/find-up/raw/master/license","fire-uach"
"find-up@4.0.0","MIT","https://github.com/sindresorhus/find-up","https://github.com/sindresorhus/find-up/raw/master/license","next:fire-uach"
"find-up@4.1.0","MIT","https://github.com/sindresorhus/find-up","https://github.com/sindresorhus/find-up/raw/master/license","cache-loader:fire-uach"
"find-versions@3.2.0","MIT","https://github.com/sindresorhus/find-versions","https://github.com/sindresorhus/find-versions/raw/master/license","fire-uach"
"flatten@1.0.3","MIT","https://github.com/mk-pmb/flatten-js","https://github.com/mk-pmb/flatten-js/raw/master/LICENSE","fire-uach"
"flush-write-stream@1.1.1","MIT","https://github.com/mafintosh/flush-write-stream","https://github.com/mafintosh/flush-write-stream/raw/master/LICENSE","fire-uach"
"focus-lock@0.6.6","MIT","https://github.com/theKashey/focus-lock","https://github.com/theKashey/focus-lock/raw/master/LICENSE","fire-uach"
"follow-redirects@1.5.10","MIT","https://github.com/follow-redirects/follow-redirects","https://github.com/follow-redirects/follow-redirects/raw/master/LICENSE","fire-uach"
"follow-redirects@1.9.0","MIT","https://github.com/follow-redirects/follow-redirects","https://github.com/follow-redirects/follow-redirects/raw/master/LICENSE","http-proxy:fire-uach"
"for-in@1.0.2","MIT","https://github.com/jonschlinkert/for-in","https://github.com/jonschlinkert/for-in/raw/master/LICENSE","fire-uach"
"forever-agent@0.6.1","Apache-2.0","https://github.com/mikeal/forever-agent","https://github.com/mikeal/forever-agent/raw/master/LICENSE","fire-uach"
"fork-ts-checker-webpack-plugin@3.1.1","MIT","https://github.com/TypeStrong/fork-ts-checker-webpack-plugin","https://github.com/TypeStrong/fork-ts-checker-webpack-plugin/raw/master/LICENSE","fire-uach"
"form-data@2.3.3","MIT","https://github.com/form-data/form-data","https://github.com/form-data/form-data/raw/master/License","fire-uach"
"formik@2.1.2","MIT","https://github.com/jaredpalmer/formik","https://github.com/jaredpalmer/formik/raw/master/LICENSE","fire-uach"
"forwarded@0.1.2","MIT","https://github.com/jshttp/forwarded","https://github.com/jshttp/forwarded/raw/master/LICENSE","fire-uach"
"fragment-cache@0.2.1","MIT","https://github.com/jonschlinkert/fragment-cache","https://github.com/jonschlinkert/fragment-cache/raw/master/LICENSE","fire-uach"
"framer-motion@1.7.0","MIT","","","fire-uach"
"framesync@4.0.4","MIT","https://github.com/Popmotion/popmotion","https://github.com/Popmotion/popmotion/raw/master/LICENSE.md","fire-uach"
"fresh@0.5.2","MIT","https://github.com/jshttp/fresh","https://github.com/jshttp/fresh/raw/master/LICENSE","fire-uach"
